INFO  2020-12-02 13:14:08.134 src/main.cpp:287 NixNote 2.1.5+dfsg1-1build1, build at Mar 23 2020 at 06:20:43, with Qt 5.12.5 running on 5.15.1
INFO  2020-12-02 13:14:08.134 src/main.cpp:290 To get more detailed startup logging use --logLevel=1
WARN  2020-12-02 13:29:34.662 src/html/noteformatter.cpp:194 Note is inactive.  Setting to read-only. Note guid="4d23ed05-0fb4-4c44-97ea-f6d49379e1f5"
WARN  2020-12-02 13:29:39.689 src/html/noteformatter.cpp:194 Note is inactive.  Setting to read-only. Note guid="ef803e96-4736-4207-9e85-5eeac9b2765c"
WARN  2020-12-02 13:30:24.659 src/html/noteformatter.cpp:194 Note is inactive.  Setting to read-only. Note guid="1db83d03-3458-4f24-8bd5-184b884bc01b"
WARN  2020-12-02 13:33:19.652 src/html/noteformatter.cpp:194 Note is inactive.  Setting to read-only. Note guid="6b014500-5ab6-44ca-afbb-861f5db83bf5"
WARN  2020-12-02 13:33:24.658 src/html/noteformatter.cpp:194 Note is inactive.  Setting to read-only. Note guid="e0822075-fd89-4470-82b9-be44982f14c9"
WARN  2020-12-02 13:35:19.656 src/html/noteformatter.cpp:194 Note is inactive.  Setting to read-only. Note guid="360fe417-d4b9-4002-b218-7cdeed82c013"
WARN  2020-12-02 13:39:29.653 src/html/noteformatter.cpp:77 Content class not empty. Setting read-only. Note guid="5659218d-fa97-4f6f-9946-0339c7b6893a"
WARN  2020-12-02 13:39:34.668 src/html/noteformatter.cpp:194 Note is inactive.  Setting to read-only. Note guid="765441be-8632-404a-8d92-912957193ff4"
WARN  2020-12-02 13:39:39.654 src/html/noteformatter.cpp:77 Content class not empty. Setting read-only. Note guid="c6ff85ff-5363-40d1-8190-6eb537205cf5"
WARN  2020-12-02 13:40:29.657 src/html/noteformatter.cpp:194 Note is inactive.  Setting to read-only. Note guid="80a62fc0-ae41-4fe1-9f8b-1862046d226d"
